"","File","RelativePath","Folder","Date","Time","ImageQuality","DeleteFlag","Note","Chamber_1","Chamber_2","Chamber_3","Chamber_4","Frame","datetime"
"208","Affiliation 20191213 01___2019-12-13_09-56-04-5682-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:56:06","Ok",FALSE,"","Left","Left","Right","Right",208,2019-12-13 09:56:06
"209","Affiliation 20191213 01___2019-12-13_09-56-09-5915-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:56:10","Ok",FALSE,"","Left","Left","Right","Right",209,2019-12-13 09:56:10
"210","Affiliation 20191213 01___2019-12-13_09-56-14-5837-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:56:16","Ok",FALSE,"","Left","Left","Right","Right",210,2019-12-13 09:56:16
"211","Affiliation 20191213 01___2019-12-13_09-56-19-5600-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:56:20","Ok",FALSE,"","Neutral","Left","Right","Right",211,2019-12-13 09:56:20
"212","Affiliation 20191213 01___2019-12-13_09-56-24-5813-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:56:26","Ok",FALSE,"","Neutral","Neutral","Right","Right",212,2019-12-13 09:56:26
"213","Affiliation 20191213 01___2019-12-13_09-56-29-5756-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:56:30","Ok",FALSE,"","Right","Right","Right","Right",213,2019-12-13 09:56:30
"214","Affiliation 20191213 01___2019-12-13_09-56-34-5809-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:56:36","Ok",FALSE,"","Right","Right","Right","Right",214,2019-12-13 09:56:36
"215","Affiliation 20191213 01___2019-12-13_09-56-39-5722-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:56:40","Ok",FALSE,"","Right","Right","Right","Right",215,2019-12-13 09:56:40
"216","Affiliation 20191213 01___2019-12-13_09-56-44-5675-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:56:46","Ok",FALSE,"","Right","Right","Neutral","Right",216,2019-12-13 09:56:46
"217","Affiliation 20191213 01___2019-12-13_09-56-49-5737-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:56:50","Ok",FALSE,"","Right","Left","Left","Right",217,2019-12-13 09:56:50
"218","Affiliation 20191213 01___2019-12-13_09-56-54-5670-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:56:56","Ok",FALSE,"","Left","Left","Left","Left",218,2019-12-13 09:56:56
